url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=ICM661&Crsname=AI行銷專題研究,,,False,行銷傳播碩,ICM661,0,不分班,"AI行銷專題研究
INDEPENDENT STUDIES IN AI IN MARKETING",3,期,False,50,0,0,50,李雅靖,"三5,6,7(管CM 2029)","['', '', '567', '', '', '', '']","《獨立研究》
限本所碩士班二年級學生選修",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=ICM662&Crsname=行銷管理專題研究,,,False,行銷傳播碩,ICM662,0,不分班,"行銷管理專題研究
INDEPENDENT STUDIES IN MARKETING MANAGEMENT",3,期,False,50,0,0,50,張榮華,"三5,6,7(管CM 2032)","['', '', '567', '', '', '', '']","《獨立研究》
限本所碩士班二年級學生選修",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM505&Crsname=商業大數據分析資料案例,,,False,管理學院(碩),CM505,0,不分班,"商業大數據分析資料案例
BUSINESS BIG DATA ANALYTICS CAPSTONE",3,期,False,50,0,0,50,"卓雍然,康藝晃","五5,6,7(管CM 2037)","['', '', '', '', '567', '', '']","《講授類》
智慧商業數據分析與創新微學程/本課程須會使用基礎R語言，未有此能力者請勿修習",['商業數據分析與創新微學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM506&Crsname=金融服務與金融科技資料案例,,,False,管理學院(碩),CM506,0,不分班,"金融服務與金融科技資料案例
FINANCIAL SERVICE AND FINANCIAL TECHNOLOGY CAPSTONE",3,期,False,50,0,0,50,"卓雍然,王昭文","五5,6,7(管CM 4112)","['', '', '', '', '567', '', '']","《講授類》
智慧金融數據分析與創新微學程/本課程須會使用基礎R語言，未有此能力者請勿修習",['金融數據分析與創新微學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM507&Crsname=倫理與社會責任,,,False,管理學院(碩),CM507,0,不分班,"倫理與社會責任
ETHICS AND SOCIAL RESPONSIBILITY",1,期,False,200,0,0,200,"王致遠,謝慧賢,鄭安授,陳世哲",一A(網路大學),"['A', '', '', '', '', '', '']","《講授類》
網大進行之非同步線上課程(二年級優先選課) 限管理學院研究所學生修習。 CM507與CM511為同系列課程，學生只能夠就此課程當中選擇一門課進行修習，已經修習過上述任何一個課程者均不得選課。","['公共事務與企業社會責任微學程', '人力資源管理學程', '企業社會責任學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM509&Crsname=商管專業實習,,,False,管理學院(碩),CM509,0,不分班,"商管專業實習
INTERNSHIP IN BUSINESS MANAGEMENT",3,期,False,50,0,0,50,張世賢,"六C(管CM 1037) 六D,E(管CM 1037)(實驗) 日D,E(管CM 1037)(實驗)","['', '', '', '', '', 'CDE', 'DE']","《實習類》
面試合格者，方能選修此門課程",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM510&Crsname=R：程式、機率與統計,,,False,管理學院(碩),CM510,0,不分班,"R：程式、機率與統計
R：STATISTICAL PROGRAMMING METHODS",3,期,False,50,0,0,50,吳藺芝,"五2,3,4(管CM 3051)","['', '', '', '', '234', '', '']","《講授類》
智慧商業/智慧金融數據分析與創新微學程","['商業數據分析與創新微學程', '金融數據分析與創新微學程']",False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM511&Crsname=國際商管倫理觀,,,False,管理學院(碩),CM511,0,不分班,"國際商管倫理觀
ETHICS IN INTERNATIONAL BUSINESS MANAGEMENT",1,期,False,60,0,0,60,"王致遠,王豫萱,鄭安授",二A(網路大學),"['', 'A', '', '', '', '', '']","《講授類》
網大進行之非同步線上課程(二年級優先選課) 限管理學院研究所學生修習。 CM507與CM511為同系列課程，學生只能夠就此課程當中選擇一門課進行修習，已經修習過上述任何一個課程者均不得選課。",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM512&Crsname=智慧商業分析實務,,,False,管理學院(碩),CM512,0,不分班,"智慧商業分析實務
PRACTICE OF BUSINESS ANALYTICS IN AI ERA",3,期,False,70,0,0,70,卓雍然,"一2,3,4(管CM 3051)","['234', '', '', '', '', '', '']","《講授類》
智慧商業數據分析與創新微學程",['商業數據分析與創新微學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=114&SEM=2&CrsDat=CM516&Crsname=綠色採購,,,False,管理學院(碩),CM516,0,不分班,"綠色採購
GREEN PROCUREMENT",1,期,False,50,0,0,50,林新沛,,"['', 'B567', '', '', '', '', '']","《講授類》
永續管理微學程/單數周上課，每次上課兩小時14-16點","['淨零轉型與永續發展整合學程', '地方創生與永續發展整合學程', '企業社會責任學程', '永續管理微學程']",True
