url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES303&Crsname=材料與光電實驗（一）,,,True,材光系,MOES303,3,不分班,"材料與光電實驗（一）
EXPERIMENTS ON MATERIAL CHARACTERIZATION AND OPTOELECTRONICS（Ⅰ）",2,期,True,30,3,28,2,"蔡宗鳴,蔣酉旺,蘇威宏,郭哲男","四8,5,6,7(工MS 4025)(實驗)","['', '', '', '5678', '', '', '']","《實驗類》
限學號 B133100001~ B133100030 、B132045015、B135045004、B135045016、B135045027、B136060037、B136060041 學生選課",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES303A&Crsname=材料與光電實驗（一）,,,True,材光系,MOES303A,3,全英班,"材料與光電實驗（一）
EXPERIMENTS ON MATERIAL CHARACTERIZATION AND OPTOELECTRONICS（Ⅰ）",2,期,True,30,1,15,15,"葉昀昇,蔡宗鳴,蘇威宏,邱政維","五8,5,6,7(工MS 4025)(實驗)","['', '', '', '', '5678', '', '']","《實驗類》
限學號 B133105001~ B133105014、B133105016~ B133105018、B133105020~ B133105023、B133105025、B135045033學生選課",[],True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES312&Crsname=相變化,,,False,材光系,MOES312,3,不分班,"相變化
PHASE TRANSFORMATION",3,期,False,50,0,2,48,張六文,"三3,4(工MS 2004) 五4(工MS 4025)","['', '', '34', '', '4', '', '']",《講授類》,['半導體製程模組學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES313&Crsname=高分子材料導論,,,False,材光系,MOES313,3,不分班,"高分子材料導論
INTRODUCTION TO POLYMER MATERIAL",3,期,True,50,1,35,15,曼哈迪,"二5(工MS 4019) 三3,4(工MS 4019)","['', '5', '34', '', '', '', '']",《講授類》,"['有機和材料合成學程', '半導體設備工程學程', '半導體元件學程', '半導體製程模組學程']",True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES313A&Crsname=高分子材料導論,,,False,材光系,MOES313A,3,全英班,"高分子材料導論
INTRODUCTION TO POLYMER MATERIAL",3,期,True,50,0,21,29,曼哈迪,"二5(工MS 4019) 三3,4(工MS 4019)","['', '5', '34', '', '', '', '']",《講授類》,"['有機和材料合成學程', '半導體設備工程學程', '半導體元件學程', '半導體製程模組學程']",True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES314&Crsname=材料物理性質,,,False,材光系,MOES314,3,不分班,"材料物理性質
PHYSICAL PROPERTIES OF MATERIALS",3,期,False,50,6,50,0,張尹,"二2,3,4(工MS 4025)","['', '234', '', '', '', '', '']",《講授類》,['半導體製程模組學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES315&Crsname=固態物理,異動,更換部份時間8/18,False,材光系,MOES315,3,不分班,"固態物理
SOLID STATE PHYSICS",3,期,True,50,3,42,8,李廣輝,"五1,2,3(工MS 4019)","['', '', '', '', '123', '', '']",《講授類》,"['量子材料微學程', '矽光子暨半導體學程', '半導體元件學程', '半導體製程模組學程', '半導體物理與先進元件分析微學程']",True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES315A&Crsname=固態物理,異動,更換部份時間8/18,False,材光系,MOES315A,3,全英班,"固態物理
SOLID STATE PHYSICS",3,期,True,50,6,26,24,李廣輝,"五1,2,3(工MS 4019)","['', '', '', '', '123', '', '']",《講授類》,"['量子材料微學程', '矽光子暨半導體學程', '半導體元件學程', '半導體製程模組學程', '半導體物理與先進元件分析微學程']",True
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES316&Crsname=光電工程（二）,,,False,材光系,MOES316,4,不分班,"光電工程（二）
OPTOELECTRONIC ENGINEERING(II)",3,期,False,50,0,3,47,蘇威宏,"一5(工MS 4025) 二6,7(工MS 4025)","['5', '67', '', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=MOES332&Crsname=材料與光電專題研究（一）,,,False,材光系,MOES332,3,不分班,"材料與光電專題研究（一）
RESEARCH PROJECT MATERIALS AND OPTOELECTRONIC(I)",1,期,False,50,4,29,21,陳致光,一A() 二A() 三A(),"['A', 'A', 'A', '', '', '', '']","《獨立研究》
學生應先找到指導專題研究的教授後再行選課。",[],True
