url,change,changeDescription,multipleCompulsory,department,id,grade,class,name,credit,yearSemester,compulsory,restrict,select,selected,remaining,teacher,room,classTime,description,tags,english
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=GESL425&Crsname=服務學習：推動高中民防實作教育,異動,更換時間及教室7/15,False,服務學習,GESL425,0,不分班,"服務學習：推動高中民防實作教育
SERVICE LEARNING: PROMOTING CIVIL DEFENSE EDUCATION IN HIGH SCHOOLS",1,期,True,40,6,19,21,佘健源,"三6,7(通GE 3011)","['', '', '67', '', '', '', '']",《服務學習類》,['全民國防微學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=GESL426&Crsname=服務學習：弱勢兒童課輔,異動,修正備註說明6/25,False,服務學習,GESL426,0,不分班,"服務學習：弱勢兒童課輔
SERVICE LEARNING: TUTORING FOR SOCIOECONOMICALLY DISADVANTAGED STUDENTS",1,期,True,40,1,40,0,王以亮,"二C,D(通GE 3011)","['', 'CD', '', '', '', '', '']","《服務學習類》
1.服務時間須滿28小時，服務時間跟地點請詳閱課綱。 2.第2週說明會修課同學一律要求參加，若不克前來請勿選修或請退選本課程。",[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=GESL428&Crsname=服務學習：城市道路標線底圖繪製,,,False,服務學習,GESL428,0,不分班,"服務學習：城市道路標線底圖繪製
SERVICE LEARNING: BASE MAP DRAFTING FOR URBAN ROAD MARKINGS",1,期,True,40,0,40,0,夏晧清,"四3,4(西SW 1007)","['', '', '', '34', '', '', '']",《服務學習類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=GESL429&Crsname=服務學習：獼猴共存術-人與動物間的共存課,異動,確認教師7/20,False,服務學習,GESL429,0,不分班,"服務學習：獼猴共存術-人與動物間的共存課
SERVICE LEARNING:  MACAQUE COEXISTENCE TECHNIQUES - COEXISTENCE BETWEEN HUMANS AND ANIMALS",1,期,True,40,3,40,0,林美吟,"三3,4(西SW 1007)","['', '', '34', '', '', '', '']",《服務學習類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL103&Crsname=國學導讀（一）,,,False,中文系,CL103,1,不分班,"國學導讀（一）
INTRODUCTION TO CHINESE CLASSICAL STUDIES(I)",2,期,True,50,0,52,-2,黃羽璿,"三3,4(文LA 4005)","['', '', '34', '', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL105&Crsname=文學概論（一）,,,False,中文系,CL105,1,不分班,"文學概論（一）
INTRODUCTION TO LITERATURE(I)",2,期,True,50,1,52,-2,莫加南,"四3,4(文LA 4005)","['', '', '', '34', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL121&Crsname=現代詩選與寫作（一）,,,False,中文系,CL121,1,不分班,"現代詩選與寫作（一）
MODERN POETRY:READINGS AND COMPOSITION (I)",3,期,False,50,6,0,50,涂書瑋,"五5,6,7(文LA 4001)","['', '', '', '', '567', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL150&Crsname=古典小說選（一）,,,False,中文系,CL150,4,不分班,"古典小說選（一）
CLASSICAL NOVELS（I）",3,期,False,35,10,0,35,羅景文,"二2,3,4(文LA 4004)","['', '234', '', '', '', '', '']",《講授類》,['中文創意跨域應用整合學程'],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL166&Crsname=現代中國文學與社會,,,False,中文系,CL166,2,不分班,"現代中國文學與社會
LITERATURE AND SOCIETY IN MODERN CHINA",3,期,False,50,0,0,50,莫加南,"四8,6,7(文LA 4002)","['', '', '', '678', '', '', '']",《講授類》,[],False
https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=115&SEM=1&CrsDat=CL183&Crsname=晚清到當代華文科幻小說,,,False,中文系,CL183,3,不分班,"晚清到當代華文科幻小說
CHINESE SCIENCE FICTION FROM LATE QING DYNASTY TO CONTEMPORARY",3,期,False,50,1,0,50,何重誼,"三2,3,4(文LA 4003)","['', '', '234', '', '', '', '']",《講授類》,['中文創意跨域應用整合學程'],False
